Name,Boiling.Point,A,B,C
TRIMETHYL AMINE,276.1,16.0499,2230.51,-39.15
VALERALDEHYDE,376.0,16.1623,3030.20,-58.15
VINYL ACETATE,346.0,16.1003,2744.68,-56.15
VINYL CHLORIDE,259.8,14.9601,1803.84,-43.15
VINYL ETHYL ETHER,308.8,15.8911,2449.26,-44.15
VINYL FORMATE,319.6,16.6531,2569.68,-63.15
VINYL METHYL ETHER,278.0,14.4602,1950.22,-25.15
VINYLACETYLENE,278.1,16.0100,2203.57,-43.15
WATER,373.2,18.3036,3816.44,-46.13
XENON,165.0,15.2958,1303.92,-14.50
