Name,Boiling.Point,A,B,C
"2,4-DIMETHYLHEXANE",382.6,15.7797,2965.44,-58.36
"2,4-DIMETHYLPENTANE",353.7,15.7179,2744.78,-51.52
"2,4-XYLENOL",484.0,16.2456,3655.26,-103.80
"2,5-DIMETHYLHEXANE",382.3,15.7954,2964.06,-58.74
"2,5-DIMETHYLPYRIDINE",430.2,16.3046,3545.14,-63.59
"2,5-XYLENOL",484.3,16.2368,3667.32,-102.40
"2,6-XYLENOL",474.1,16.2809,3749.35,-85.55
2-BUTANOL,372.7,17.2102,3026.03,-86.65
2-BUTYNE,300.2,16.2871,2536.78,-37.34
2-CHLOROBUTANE,341.4,15.9907,2753.43,-47.15
2-ETHYLHEXANOL,457.8,15.3614,2773.46,-140.00
2-METHYL BUTANE,301.0,15.6338,2348.67,-40.05
2-METHYL PENTANE,333.4,15.7476,2614.38,-46.58
"2-METHYL-1,3-BUTADIENE",307.2,15.8548,2467.40,-39.64
2-METHYL-1-BUTANOL,409.1,16.2708,2752.19,-116.30
2-METHYL-1-BUTENE,304.3,15.8260,2426.42,-40.36
2-METHYL-2-BUTENE,311.7,15.9238,2521.53,-40.31
2-METHYL-2-PENTENE,340.5,15.9423,2725.89,-47.64
2-METHYL-3-ETHYLPENTANE,388.8,15.8040,3035.08,-57.84
2-METHYLHEPTANE,390.8,15.9278,3079.63,-59.46
2-METHYLHEXANE,363.2,15.8261,2845.06,-53.60
2-METHYLNAPHTHALENE,514.2,16.2758,4237.37,-74.75
2-OCTANOL,452.9,14.7108,2441.66,-150.70
"3,3,5-TRIMETHYLHEPTANE",428.8,15.7848,3305.20,-67.66
"3,3-DIETHYLPENTANE",419.3,15.8709,3341.62,-57.57
"3,3-DIMETHYL-1-BUTENE",314.4,15.3755,2326.80,-48.24
"3,3-DIMETHYLHEXANE",385.1,15.7755,3011.51,-55.71
"3,3-DIMETHYLPENTANE",359.2,15.7190,2829.10,-47.83
"3,4 DIMETHYLHEXANE",390.9,15.8415,3062.52,-58.29
"3,4-DIMETHYLPYRIDINE",452.3,16.9517,4237.04,-41.65
"3,4-XYLENOL",500.0,16.3004,3733.53,-113.90
"3,5-DIMETHYLPYRIDINE",445.1,16.8850,4106.95,-44.45
"3,5-XYLENOL",494.8,16.4192,3775.91,-109.00
3-ETHYLHEXANE,391.7,15.8671,3057.57,-60.55
3-ETHYLPENTANE,366.6,15.8317,2882.44,-53.26
3-METHYL PENTANE,336.4,15.7701,2653.43,-46.02
"3-METHYL-1,2-BUTADIENE",314.0,15.9880,2541.83,-42.26
3-METHYL-1-BUTANOL,404.4,16.7127,3026.43,-104.10
3-METHYL-1-BUTENE,293.3,15.7179,2333.61,-36.33
